LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID13254,13254,8,14.124141693115234,285.51445128440923,110.62686327860997,0.0,66531.6642771,99,7.5,1,,17831.04731679169,17512.0,16147.0,20423.0,3.0901205E7,1010.7879378314731,40180.53491055972,38890.0,22811.0,56362.0,6.9632867E7,7793.634343346707,0.03045735784214237,1.0428191521307368,0.11794726448733263,1.0878580730927783
ID12999,12999,8,14.03876781463623,286.2179490111653,110.49326234654407,0.0,61155.3681739,91,7.5,1,,17998.08309290248,17673.0,16296.0,21018.0,3.1190678E7,1027.396339245609,40089.190998268896,38709.0,22792.0,56177.0,6.9474568E7,7650.2201310906785,0.030622358459901442,1.0410157742926336,0.11750044068165295,1.1019836432854957
ID9931,9931,8,11.193296432495117,290.35466428829744,114.35547894443647,0.0,1344.0740258,2,7.5,1,,18330.80323139065,18416.0,16953.0,19444.0,3.1767282E7,468.72588831098693,34804.31852279285,35322.0,29578.0,39269.0,6.0315884E7,2162.3379636225823,0.023738037455531193,1.8136292908754534,0.04776659725374904,1.4675716465218107
ID11467,11467,8,14.293083190917969,286.4989050117168,120.06523340333773,0.0,32257.7766192,48,7.5,1,,18469.732256203115,18273.0,16853.0,20686.0,3.2008046E7,792.2222492736214,35037.39584535488,34157.0,24870.0,45638.0,6.0719807E7,4739.912336603858,0.028942815912783845,1.3115749194527047,0.04154051414693572,0.5896403636981958
ID10189,10189,8,12.874734878540039,287.4512487843449,112.58495719349219,0.0,10752.5922064,16,7.5,1,,18544.379111367572,18622.0,17258.0,19693.0,3.2137409E7,465.7401048026801,35426.5666474322,35680.0,29499.0,41095.0,6.139424E7,2329.212189212108,0.03039086185827391,2.348765582182893,0.03803164145815864,1.114511321498375
ID12749,12749,8,17.981210708618164,283.3633801223683,108.48180655133669,0.0,55107.0350578,82,7.5,1,,18867.521061742642,19049.0,16782.0,21003.0,3.2697414E7,965.0379997308438,37160.46624350837,36326.0,22361.0,53619.0,6.4399088E7,6052.049443079202,0.045862179896946215,1.7146704346411445,0.09772101754826788,1.0932127385848724
ID13777,13777,8,14.123106956481934,285.4355464139519,110.4832357565644,0.0,76612.2194706,114,7.5,1,,17621.572417772648,17315.0,15919.0,20032.0,3.0538185E7,976.0706155364009,40776.22158107328,39368.0,21724.0,58373.0,7.0665192E7,8129.0817453428845,0.03132084822254921,1.0965618537075186,0.1190788586091511,1.0675038682443312
ID10964,10964,8,19.06438636779785,287.19203595394697,117.24871786519395,0.0,25537.406490200003,38,7.5,1,,18912.488747836123,18526.0,17107.0,22801.0,3.2775343E7,1267.014882732699,40390.28736295441,38120.0,29663.0,56708.0,6.9996368E7,7038.218036701869,0.04267690015860916,1.2219124132855237,0.1200032740108614,1.2297533794854347
ID11988,11988,8,14.50289249420166,282.7379791614711,111.99921486239323,0.0,42338.3318127,63,7.5,1,,18218.450086555105,18261.0,16871.0,19751.0,3.1572574E7,574.4646221961933,35744.69301788806,35032.0,28589.0,43191.0,6.1945553E7,3262.6928535007623,0.03652635363606392,2.2351367821454904,0.0395362086592445,0.8333372106881239
ID10456,10456,8,11.88667106628418,289.25294276164936,115.54321423577004,0.0,7392.4071419,11,7.5,1,,18452.183496826314,18512.0,17187.0,19506.0,3.1977634E7,412.1855156781696,35152.54991344489,35638.0,29354.0,39755.0,6.0919369E7,2038.7434695710283,0.02708037662111933,2.3606701161633725,0.03151468417719933,1.0535661063566517
ID12504,12504,8,12.760522842407227,285.5081638333582,110.11800201358206,0.0,52418.887006200006,78,7.5,1,,17979.799769186382,18007.0,16641.0,18994.0,3.1158993E7,401.2617495347263,34787.514714368146,34572.0,30076.0,39232.0,6.0286763E7,1638.0026124038359,0.032380370028804985,2.810794877804505,0.024166717730878504,1.0022725118973548
ID11228,11228,8,19.132768630981445,285.9726830964,122.31977091963246,0.0,28225.5545418,42,7.5,1,,18989.858626658974,18472.0,17268.0,22884.0,3.2909425E7,1377.0809775338705,35842.44547028275,35276.0,23278.0,52536.0,6.2114958E7,6318.921203645845,0.0387778290183506,1.0295633343083899,0.05541923407953654,0.5956898550234718
ID14045,14045,8,14.1692476272583,285.2280891987483,110.85666632792466,0.0,81316.47856090001,121,7.5,1,,17524.48297749567,17200.0,15861.0,19906.0,3.0369929E7,983.1612280962757,40766.871898442005,39437.0,22079.0,57641.0,7.0648989E7,7871.864410156884,0.03131593226617137,1.0824904764970484,0.1168238722665638,1.0834445474307532
ID13534,13534,8,13.867695808410645,285.4717163560658,110.70692877217223,0.0,67203.70129,100,7.5,1,,17811.650317368723,17523.0,16265.0,20310.0,3.086759E7,969.8477649199792,40141.88632429313,38738.0,23014.0,56297.0,6.9565889E7,7807.917243223336,0.030006580478033926,1.0700574472085906,0.11721720381947212,1.0788133531708404
ID10726,10726,8,13.767045021057129,283.25759017747185,116.44715995831345,0.0,15456.8512967,23,7.5,1,,18794.536641661856,18727.0,17478.0,21176.0,3.2570932E7,632.9695068539718,34336.81361800346,33513.0,25199.0,51431.0,5.9505698E7,4674.659996948035,0.037005150463244395,2.1191421576443124,0.015118111027607926,0.21878669723808716
