LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID67850,67850,166,28.369720458984375,24.597308783325726,669.1139932275868,0.0,17442.000592700002,29,7.5,1,,9218.105597230237,9458.0,5401.0,13632.0,1.5974977E7,1921.7857718618243,0.3391757893216696,2.4297072855981456
ID71567,71567,166,31.670894622802734,17.464565102149077,666.4728406979108,0.0,31275.311407600002,52,7.5,1,,9039.651471436815,8441.0,4702.0,15769.0,1.5665716E7,2997.0223256961217,0.2868980931717196,1.3448542143933702
ID74127,74127,166,31.068918228149414,25.572477005165283,663.1345849139456,0.0,36086.897778,60,7.5,1,,8307.232544720138,6501.0,4700.0,23671.0,1.4396434E7,3944.3454446694695,0.1852460880989215,0.6583425649818289
ID73615,73615,166,31.49648666381836,22.65395489488238,662.5649471655544,0.0,36688.3460743,61,7.5,1,,8477.506058857472,6854.0,4875.0,22488.0,1.4691518E7,3781.870200463801,0.19945070176846397,0.745494856187934
ID74643,74643,166,36.06404495239258,24.168285600153755,668.3484459265107,0.0,41499.9324447,69,7.5,1,,8975.542412002309,8141.0,4823.0,22310.0,1.5554615E7,3845.9120842645207,0.297510763150045,1.0702446356268742
ID72082,72082,166,33.88036346435547,23.09011066118269,668.9095094642188,0.0,30072.414815000004,50,7.5,1,,9540.96653202539,9449.0,5396.0,14297.0,1.6534495E7,2220.451588130282,0.3578919721876401,2.264997856747624
ID73106,73106,166,37.40258026123047,24.448996779786157,665.4121981825073,0.0,37891.242666900005,63,7.5,1,,9039.253894979804,7555.0,5020.0,21506.0,1.5665027E7,3869.974310228436,0.2617101225929935,0.9689813809610559
ID71060,71060,166,30.488039016723633,23.7452296323318,669.4598411844122,0.0,28869.518222400002,48,7.5,1,,9399.530294287362,9418.0,5301.0,12835.0,1.6289386E7,1938.9247355914629,0.3603986663204774,2.5685745439781447
ID72596,72596,166,29.80168342590332,21.87622220646408,662.3650969170228,0.0,34884.001185400004,58,7.5,1,,8409.863242931333,6874.0,4738.0,20935.0,1.4574293E7,3570.871963219492,0.1909698972306499,0.7552813844519891
ID62872,62872,166,16.94869613647461,16.76430091763745,666.0907511989392,0.0,1202.8965926,2,7.5,1,,7667.467397576457,7853.0,5152.0,9162.0,1.3287721E7,764.8175994295674,0.19203553944220042,3.230103710534096
ID70552,70552,166,28.78359031677246,22.041182062271965,669.7922434833846,0.0,27065.173333500003,45,7.5,1,,9254.271206001154,9206.0,5737.0,12787.0,1.6037652E7,1750.093173127234,0.3616275721058452,2.8087575083409115
ID70048,70048,166,32.3929328918457,23.478612178743262,668.6869944593734,0.0,24659.380148300002,41,7.5,1,,9471.376226197346,9255.0,5900.0,13868.0,1.6413895E7,1986.2434998230242,0.3497371530913635,2.4711730721132175
ID75168,75168,166,39.22349548339844,25.27608443422549,668.6644417646805,0.0,43304.2773336,72,7.5,1,,9251.950952106174,8055.0,4878.0,24682.0,1.6033631E7,4308.221249180287,0.3181937640629039,1.0367587998971406
ID64931,64931,166,20.343887329101562,22.531295850891322,665.0384039157367,0.0,9623.1727408,16,7.5,1,,8386.767455279862,8483.0,6270.0,9752.0,1.4534268E7,604.5279604899471,0.20908934663012813,4.798237220624311
ID63397,63397,166,17.522640228271484,16.23310070731997,667.9187834924647,0.0,4811.5863704,8,7.5,1,,7742.33641084824,8012.0,5235.0,9348.0,1.3417469E7,933.6955619211833,0.22887570934519236,3.08879071066577
ID63910,63910,166,17.54395866394043,15.999892370585961,667.4900964992613,0.0,3007.2414815,5,7.5,1,,7680.6826312752455,7920.0,5004.0,9447.0,1.3310623E7,918.6214523186616,0.21900336660573866,3.0042710911165846
